#abgabe.csv
#Subair
#Kirimow
#12321260
group,number,size,duration,reduction_time,solver_calls
ba_m2,1,25,256001100,47730500,4
ba_m2,2,30,229482200,18413000,5
ba_m2,3,35,259390700,25590400,5
ba_m2,4,40,438908600,33789000,6
ba_m2,5,45,642843600,82027400,6
ba_m2,6,50,913443000,44278700,5
ba_m4,7,25,136710300,3933800,5
ba_m4,8,30,173592900,6475400,5
ba_m4,9,35,382254900,8882200,5
ba_m4,10,40,1021484400,19992900,5
ba_m4,11,45,2456063400,51072000,5
ba_m4,12,50,2260142100,81314900,6
ba_m8,13,25,30535074700,15918100,5
ba_m8,14,30,14318071700,16235000,5
ba_m8,15,35,9709205100,8461900,5
ba_m8,16,40,13709498300,19239200,5
ba_m8,17,45,23249706600,41058700,6
ba_m8,18,50,29369063500,88225400,6
