#small-misp.csv
#Subair
#Kirimow
#12321260
group,number,graph_name,edge_probability,duration,node_expansions
Small,1,small-star.graphml,20,7438200,1
Small,2,small-star.graphml,20,523700,1
Small,3,small-star.graphml,20,4065300,3
Small,4,small-star.graphml,20,273300,1
Small,5,small-hard-for-min-degree-greedy.graphml,20,523200,1
Small,6,small-hard-for-min-degree-greedy.graphml,20,625800,1
Small,7,small-hard-for-min-degree-greedy.graphml,20,7590300,11
Small,8,small-hard-for-min-degree-greedy.graphml,20,1806800,3
Small,9,small-hard-for-max-degree-vc-greedy.graphml,20,355800,1
Small,10,small-hard-for-max-degree-vc-greedy.graphml,20,200400,1
Small,11,small-hard-for-max-degree-vc-greedy.graphml,20,2775000,11
Small,12,small-hard-for-max-degree-vc-greedy.graphml,20,14025000,15
Small,13,small-hard-for-max-degree-vc-greedy.graphml,20,1953900,7
Small,14,small-hard-for-max-degree-vc-greedy.graphml,20,1023800,7
